country,city,pop
Sweden,Luleå,47094.5
Greece,Lamia,47246
Greece,Alexandroupoli,48711.5
Norway,Tromsø,48900.5
Greece,Xanthi,49395.5
Greece,Katerini,50850.5
Greece,Seres,50910.5
Spain,Toledo,53878.5
France,Cayenne,57179.5
Italy,Benevento,59280
Greece,Kalamata,61465.5
Greece,Chalkida,63200
Switzerland,Biel,63661
Sweden,Borås,64115.5
Latvia,Jelgava,64499
Switzerland,Lugano,65876.5
Greece,Hania,66646.5
France,Versailles,85416
Sweden,Jönköping,86491
Sweden,Linköping,94111.5
Latvia,Daugavpils,109969.5
Netherlands,Zwolle,111805
Hungary,Kecskemet,111871
Denmark,Aalborg,111917.5
Turkey,Karabuk,113022.5
Spain,Ourense,113095
Spain,Badajoz,115638.5
France,Amiens,118908.5
Spain,Huelva,119732
Greece,Larissa,120122.5
Italy,Ferrara,121754
Netherlands,Maastricht,122378
Italy,Lecce,122942.5
Italy,Siracusa,123110
Spain,Logrono,123918.5
France,Besancon,124193
Italy,Ravenna,124302.5
Spain,Albacete,127597
Germany,Bremerhaven,127598.5
United Kingdom,Cambridge,128488
Italy,Treviso,128726.5
Sweden,Uppsala,130425.5
Greece,Iraklio,134404
Iceland,Reykjavík,140059
Norway,Trondheim,144336
Italy,Pisa,146515
Italy,Foggia,147028
Turkey,Usak,147190.5
Italy,Taranto,148807
Spain,Mataro,149826
Spain,Burgos,150251
France,Caen,150361.5
United Kingdom,Dundee,151013.5
Germany,Wurzburg,151146
Turkey,Afyon,151564
United Kingdom,York,151574.5
Spain,Almeria,152032.5
Denmark,Odense,152076.5
Portugal,Funchal,152807
Spain,Marbella,153069.5
Spain,Cadiz,153932.5
Turkey,Antioch,154803
France,Nimes,158891.5
Greece,Patra,159579.5
France,Dijon,159864
Spain,Salamanca,160456.5
Italy,Bergamo,160658
Czech Republic,Pizen,161043
Turkey,Isparta,161089
Germany,Oldenburg,163338
France,Mulhouse,163442
Switzerland,Luzern,163745.5
Italy,Parma,164734
Italy,Caserta,164744
Italy,Como,167438
Turkey,Kutahya,168459.5
Turkey,Corum,168544
France,Orleans,170725
France,Fort-de-France,172622
Germany,Furth,174934.5
Finland,Turku,175442.5
Spain,Castello,176360
France,Reims,177939
France,Angers,178329.5
Italy,Reggio di Calabria,179034.5
Turkey,Aydin,180939.5
Germany,Potsdam,181693.5
United Kingdom,Norwich,184196
Germany,Mainz,184997
United Kingdom,Aberdeen,186577
France,Nancy,187155
Malta,Valletta,187608
Turkey,Rize,187976.5
France,Tours,188858.5
Germany,Erfurt,189365
Switzerland,Lausanne,191226.5
Spain,Santander,196025.5
Switzerland,Bern,198480
Germany,Osnabrück,198865
Netherlands,Groningen,198941
Spain,Vitoria,199109.5
Norway,Bergen,200389.5
Germany,Rostock,200686.5
France,Rennes,204329.5
Turkey,Kirikkale,208554.5
Germany,Koblenz,209976
Italy,Trieste,213609.5
France,Le Havre,214048
United Kingdom,Luton,214813.5
